environment,sf,variant,snr_db,rx_dbm,margin_db,noise_dbm,pathloss_db,payload_bytes_config,payload_bytes_effective,g2g_overhead_bytes,phy_payload_bytes_frag_avg,pk_fragments,ct_fragments,fragment_gap_ms,n_fragments_exchange,ok_frags,fail_frags,per_observed,tx_airtime_ms_total,airtime_ms_frag_avg,exchange_latency_s,energy_j_exchange,energy_j_exchange_tx,energy_j_exchange_rx,airtime_energy_tx,airtime_energy_rx,energy_per_fragment_tx,energy_per_fragment_rx,lambda_eff,is_on,attempts_total,attempts_on,attempts_off,attempts_off_fraction,lambda_eff_attempt_avg,per_fragment_avg,per_collision_sim_avg,per_collision_th_avg,per_channel_avg,per_total_avg,pacing_mode,sf_aware_pacing_threshold,retry_margin_db,rx_duty_cycle_enabled,rx_window_ms,rx_idle_ms,ack_batch_size,data_frames_tx,ack_frames_tx,frames_tx_total,ack_airtime_ms,ack_logical_failures,lost_ack_sleep,lost_ack_channel,ack_batch_retx_rounds,ack_per_channel_avg,ack_per_collision_avg,ack_per_total_avg,lost_rx_sleep_data,lost_rx_sleep_ack,per_exchange_fail,retransmissions_count
indoor,7,main_radioaware_phase_bounded,-3,-120.031,4.5,-117.031,0,20,20,1,21,6,9,20,15,15,0,0,1621.25,56.576,2.32743,0.881242,0.648499,0.232743,0.648499,0.232743,0.0432333,0.0155162,1,1,17,17,0,0,1,0.0523824,0.0018842,0.0018842,0.0474259,0.0523824,radioaware_phase_bounded,7,1,1,120,120,1,17,16,33,659.456,1,0,1,1,0.0474259,0.00128717,0.048652,0,0,0,1
indoor,7,main_radioaware_phase_bounded,-3,-120.031,4.5,-117.031,0,20,20,1,21,6,9,20,15,15,0,0,1564.67,56.576,2.05365,0.831234,0.625869,0.205365,0.625869,0.205365,0.0417246,0.013691,1,1,16,16,0,0,1,0.0523824,0.0018842,0.0018842,0.0474259,0.0523824,radioaware_phase_bounded,7,1,1,120,120,1,16,16,32,659.456,1,0,1,1,0.0474259,0.00128717,0.048652,0,0,0,0
indoor,7,main_radioaware_phase_bounded,-3,-120.031,4.5,-117.031,0,20,20,1,21,6,9,20,15,15,0,0,1621.25,56.576,2.27078,0.875577,0.648499,0.227078,0.648499,0.227078,0.0432333,0.0151385,1,1,17,17,0,0,1,0.0523824,0.0018842,0.0018842,0.0474259,0.0523824,radioaware_phase_bounded,7,1,1,120,120,1,17,16,33,659.456,1,0,1,1,0.0474259,0.00128717,0.048652,0,0,0,1
indoor,7,main_radioaware_phase_bounded,-3,-120.031,4.5,-117.031,0,20,20,1,21,6,9,20,15,15,0,0,1523.46,56.576,2.04902,0.814285,0.609382,0.204902,0.609382,0.204902,0.0406255,0.0136602,1,1,16,16,0,0,1,0.0491085,0.00176644,0.00176644,0.0474259,0.0491085,radioaware_phase_bounded,7,1,1,120,120,1,16,15,31,618.24,0,0,0,0,0.0474259,0.00128717,0.048652,0,0,0,1
indoor,7,main_radioaware_phase_bounded,-3,-120.031,4.5,-117.031,0,20,20,1,21,6,9,20,15,15,0,0,1466.88,56.576,1.74688,0.76144,0.586752,0.174688,0.586752,0.174688,0.0391168,0.0116459,1,1,15,15,0,0,1,0.0491085,0.00176644,0.00176644,0.0474259,0.0491085,radioaware_phase_bounded,7,1,1,120,120,1,15,15,30,618.24,0,0,0,0,0.0474259,0.00128717,0.048652,0,0,0,0
indoor,7,main_radioaware_phase_bounded,-3,-120.031,4.5,-117.031,0,20,20,1,21,6,9,20,15,15,0,0,1636.61,56.576,2.43368,0.898011,0.654643,0.243368,0.654643,0.243368,0.0436429,0.0162245,1,1,18,18,0,0,1,0.0491085,0.00176644,0.00176644,0.0474259,0.0491085,radioaware_phase_bounded,7,1,1,120,120,1,18,15,33,618.24,0,0,0,0,0.0474259,0.00128717,0.048652,0,0,0,3
indoor,7,main_radioaware_phase_bounded,-3,-120.031,4.5,-117.031,0,20,20,1,21,6,9,20,15,15,0,0,1580.03,56.576,2.34501,0.866514,0.632013,0.234501,0.632013,0.234501,0.0421342,0.0156334,1,1,17,17,0,0,1,0.0491085,0.00176644,0.00176644,0.0474259,0.0491085,radioaware_phase_bounded,7,1,1,120,120,1,17,15,32,618.24,0,0,0,0,0.0474259,0.00128717,0.048652,0,0,0,2
indoor,7,main_radioaware_phase_bounded,-3,-120.031,4.5,-117.031,0,20,20,1,21,6,9,20,15,15,0,0,1719.04,56.576,2.67138,0.954754,0.687616,0.267138,0.687616,0.267138,0.0458411,0.0178092,1,1,18,18,0,0,1,0.0556563,0.00200196,0.00200196,0.0474259,0.0556563,radioaware_phase_bounded,7,1,1,120,120,1,18,17,35,700.672,2,0,2,2,0.0474259,0.00128717,0.048652,0,0,0,1
indoor,7,main_radioaware_phase_bounded,-3,-120.031,4.5,-117.031,0,20,20,1,21,6,9,20,15,15,0,0,1734.4,56.576,2.75703,0.969463,0.69376,0.275703,0.69376,0.275703,0.0462507,0.0183802,1,1,19,19,0,0,1,0.0523824,0.0018842,0.0018842,0.0474259,0.0523824,radioaware_phase_bounded,7,1,1,120,120,1,19,16,35,659.456,1,0,1,1,0.0474259,0.00128717,0.048652,0,0,0,3
indoor,7,main_radioaware_phase_bounded,-3,-120.031,4.5,-117.031,0,20,20,1,21,6,9,20,15,15,0,0,1636.61,56.576,2.55723,0.910366,0.654643,0.255723,0.654643,0.255723,0.0436429,0.0170482,1,1,18,18,0,0,1,0.0491085,0.00176644,0.00176644,0.0474259,0.0491085,radioaware_phase_bounded,7,1,1,120,120,1,18,15,33,618.24,0,0,0,0,0.0474259,0.00128717,0.048652,0,0,0,3
indoor,7,main_radioaware_phase_bounded,-3,-120.031,4.5,-117.031,0,20,20,1,21,6,9,20,15,15,0,0,1662.46,56.576,2.38384,0.90337,0.664986,0.238384,0.664986,0.238384,0.0443324,0.0158923,1,1,17,17,0,0,1,0.0556563,0.00200196,0.00200196,0.0474259,0.0556563,radioaware_phase_bounded,7,1,1,120,120,1,17,17,34,700.672,2,0,2,2,0.0474259,0.00128717,0.048652,0,0,0,0
indoor,7,main_radioaware_phase_bounded,-3,-120.031,4.5,-117.031,0,20,20,1,21,6,9,20,15,15,0,0,1523.46,56.576,2.05403,0.814786,0.609382,0.205403,0.609382,0.205403,0.0406255,0.0136936,1,1,16,16,0,0,1,0.0491085,0.00176644,0.00176644,0.0474259,0.0491085,radioaware_phase_bounded,7,1,1,120,120,1,16,15,31,618.24,0,0,0,0,0.0474259,0.00128717,0.048652,0,0,0,1
